trial-name,spk,train-infer,train-quality,n-samples,test-infer,test-quality,eer
trial_01gtdxo0,Kaban,raw,AB,520,embd,ABC,50
trial_01gtdxo0,Kaban,raw,AB,520,embd,D,38.89
trial_01gtdxo0,Kaban,raw,AB,520,mask,ABC,36.36
trial_01gtdxo0,Kaban,raw,AB,520,mask,D,44.44
trial_01gtdxo0,Kaban,raw,AB,520,raw,ABC,31.82
trial_01gtdxo0,Kaban,raw,AB,520,raw,D,44.44
trial_01mofggr,Serval,raw,ABC,880,embd,ABC,15.62
trial_01mofggr,Serval,raw,ABC,880,embd,D,23.81
trial_01mofggr,Serval,raw,ABC,880,mask,ABC,9.375
trial_01mofggr,Serval,raw,ABC,880,mask,D,14.29
trial_01mofggr,Serval,raw,ABC,880,raw,ABC,9.375
trial_01mofggr,Serval,raw,ABC,880,raw,D,19.05
trial_025dszvs,Serval,mask,ABCD,880,embd,ABC,23.33
trial_025dszvs,Serval,mask,ABCD,880,embd,D,36.36
trial_025dszvs,Serval,mask,ABCD,880,mask,ABC,10
trial_025dszvs,Serval,mask,ABCD,880,mask,D,22.73
trial_025dszvs,Serval,mask,ABCD,880,raw,ABC,10
trial_025dszvs,Serval,mask,ABCD,880,raw,D,27.27
trial_03ca3ws8,Kaban,mask,ABCD,650,embd,ABC,37.93
trial_03ca3ws8,Kaban,mask,ABCD,650,embd,D,40
trial_03ca3ws8,Kaban,mask,ABCD,650,mask,ABC,31.03
trial_03ca3ws8,Kaban,mask,ABCD,650,mask,D,24
trial_03ca3ws8,Kaban,mask,ABCD,650,raw,ABC,34.48
trial_03ca3ws8,Kaban,mask,ABCD,650,raw,D,36
trial_03fbqdt5,Serval,raw,ABC,1000,embd,ABC,13.33
trial_03fbqdt5,Serval,raw,ABC,1000,embd,D,20
trial_03fbqdt5,Serval,raw,ABC,1000,mask,ABC,3.333
trial_03fbqdt5,Serval,raw,ABC,1000,mask,D,20
trial_03fbqdt5,Serval,raw,ABC,1000,raw,ABC,6.667
trial_03fbqdt5,Serval,raw,ABC,1000,raw,D,28
trial_0d2ab2tu,Serval,raw,ABC,1000,embd,ABC,26.32
trial_0d2ab2tu,Serval,raw,ABC,1000,embd,D,33.33
trial_0d2ab2tu,Serval,raw,ABC,1000,mask,ABC,10.53
trial_0d2ab2tu,Serval,raw,ABC,1000,mask,D,18.18
trial_0d2ab2tu,Serval,raw,ABC,1000,raw,ABC,10.53
trial_0d2ab2tu,Serval,raw,ABC,1000,raw,D,15.15
trial_0hax0blo,Kaban,embd,ABCD,880,embd,ABC,24
trial_0hax0blo,Kaban,embd,ABCD,880,embd,D,33.33
trial_0hax0blo,Kaban,embd,ABCD,880,mask,ABC,24
trial_0hax0blo,Kaban,embd,ABCD,880,mask,D,20.83
trial_0hax0blo,Kaban,embd,ABCD,880,raw,ABC,24
trial_0hax0blo,Kaban,embd,ABCD,880,raw,D,20.83
trial_0k0r99wu,Serval,embd,ABCD,650,embd,ABC,33.33
trial_0k0r99wu,Serval,embd,ABCD,650,embd,D,41.38
trial_0k0r99wu,Serval,embd,ABCD,650,mask,ABC,29.63
trial_0k0r99wu,Serval,embd,ABCD,650,mask,D,41.38
trial_0k0r99wu,Serval,embd,ABCD,650,raw,ABC,29.63
trial_0k0r99wu,Serval,embd,ABCD,650,raw,D,51.72
trial_0ll7bwl3,Serval,raw,ABC,1000,embd,ABC,19.35
trial_0ll7bwl3,Serval,raw,ABC,1000,embd,D,20
trial_0ll7bwl3,Serval,raw,ABC,1000,mask,ABC,9.677
trial_0ll7bwl3,Serval,raw,ABC,1000,mask,D,20
trial_0ll7bwl3,Serval,raw,ABC,1000,raw,ABC,6.452
trial_0ll7bwl3,Serval,raw,ABC,1000,raw,D,20
trial_0lxgbk68,Serval,embd,ABCD,880,embd,ABC,27.27
trial_0lxgbk68,Serval,embd,ABCD,880,embd,D,23.33
trial_0lxgbk68,Serval,embd,ABCD,880,mask,ABC,18.18
trial_0lxgbk68,Serval,embd,ABCD,880,mask,D,33.33
trial_0lxgbk68,Serval,embd,ABCD,880,raw,ABC,18.18
trial_0lxgbk68,Serval,embd,ABCD,880,raw,D,36.67
trial_0pm5veol,Serval,mask,ABCD,650,embd,ABC,32.35
trial_0pm5veol,Serval,mask,ABCD,650,embd,D,33.33
trial_0pm5veol,Serval,mask,ABCD,650,mask,ABC,26.47
trial_0pm5veol,Serval,mask,ABCD,650,mask,D,23.81
trial_0pm5veol,Serval,mask,ABCD,650,raw,ABC,20.59
trial_0pm5veol,Serval,mask,ABCD,650,raw,D,23.81
trial_0uh7mmfb,Serval,raw,AB,520,embd,ABC,33.33
trial_0uh7mmfb,Serval,raw,AB,520,embd,D,38.46
trial_0uh7mmfb,Serval,raw,AB,520,mask,ABC,29.17
trial_0uh7mmfb,Serval,raw,AB,520,mask,D,34.62
trial_0uh7mmfb,Serval,raw,AB,520,raw,ABC,29.17
trial_0uh7mmfb,Serval,raw,AB,520,raw,D,34.62
trial_0xbwifln,Kaban,embd,ABCD,650,embd,ABC,25
trial_0xbwifln,Kaban,embd,ABCD,650,embd,D,37.5
trial_0xbwifln,Kaban,embd,ABCD,650,mask,ABC,25
trial_0xbwifln,Kaban,embd,ABCD,650,mask,D,25
trial_0xbwifln,Kaban,embd,ABCD,650,raw,ABC,25
trial_0xbwifln,Kaban,embd,ABCD,650,raw,D,37.5
trial_13l6gyb2,Serval,mask,ABCD,520,embd,ABC,25.93
trial_13l6gyb2,Serval,mask,ABCD,520,embd,D,44.44
trial_13l6gyb2,Serval,mask,ABCD,520,mask,ABC,18.52
trial_13l6gyb2,Serval,mask,ABCD,520,mask,D,33.33
trial_13l6gyb2,Serval,mask,ABCD,520,raw,ABC,25.93
trial_13l6gyb2,Serval,mask,ABCD,520,raw,D,40.74
trial_14qlekil,Serval,mask,ABCD,520,embd,ABC,36
trial_14qlekil,Serval,mask,ABCD,520,embd,D,51.72
trial_14qlekil,Serval,mask,ABCD,520,mask,ABC,40
trial_14qlekil,Serval,mask,ABCD,520,mask,D,37.93
trial_14qlekil,Serval,mask,ABCD,520,raw,ABC,32
trial_14qlekil,Serval,mask,ABCD,520,raw,D,31.03
trial_15bmjzpf,Serval,raw,AB,650,embd,ABC,36.36
trial_15bmjzpf,Serval,raw,AB,650,embd,D,33.33
trial_15bmjzpf,Serval,raw,AB,650,mask,ABC,24.24
trial_15bmjzpf,Serval,raw,AB,650,mask,D,23.81
trial_15bmjzpf,Serval,raw,AB,650,raw,ABC,21.21
trial_15bmjzpf,Serval,raw,AB,650,raw,D,23.81
trial_178l3xsw,Serval,mask,ABCD,1000,embd,ABC,20
trial_178l3xsw,Serval,mask,ABCD,1000,embd,D,26.92
trial_178l3xsw,Serval,mask,ABCD,1000,mask,ABC,13.33
trial_178l3xsw,Serval,mask,ABCD,1000,mask,D,11.54
trial_178l3xsw,Serval,mask,ABCD,1000,raw,ABC,13.33
trial_178l3xsw,Serval,mask,ABCD,1000,raw,D,23.08
trial_17xmga2w,Kaban,mask,ABCD,1000,embd,ABC,30
trial_17xmga2w,Kaban,mask,ABCD,1000,embd,D,33.33
trial_17xmga2w,Kaban,mask,ABCD,1000,mask,ABC,20
trial_17xmga2w,Kaban,mask,ABCD,1000,mask,D,19.05
trial_17xmga2w,Kaban,mask,ABCD,1000,raw,ABC,10
trial_17xmga2w,Kaban,mask,ABCD,1000,raw,D,23.81
trial_1ex1hyca,Kaban,raw,AB,520,embd,ABC,40.74
trial_1ex1hyca,Kaban,raw,AB,520,embd,D,56
trial_1ex1hyca,Kaban,raw,AB,520,mask,ABC,33.33
trial_1ex1hyca,Kaban,raw,AB,520,mask,D,40
trial_1ex1hyca,Kaban,raw,AB,520,raw,ABC,29.63
trial_1ex1hyca,Kaban,raw,AB,520,raw,D,44
trial_1gnyb27r,Serval,raw,AB,520,embd,ABC,43.33
trial_1gnyb27r,Serval,raw,AB,520,embd,D,40
trial_1gnyb27r,Serval,raw,AB,520,mask,ABC,33.33
trial_1gnyb27r,Serval,raw,AB,520,mask,D,30
trial_1gnyb27r,Serval,raw,AB,520,raw,ABC,33.33
trial_1gnyb27r,Serval,raw,AB,520,raw,D,26.67
trial_1gxuh0cu,Kaban,raw,ABC,880,embd,ABC,47.83
trial_1gxuh0cu,Kaban,raw,ABC,880,embd,D,36
trial_1gxuh0cu,Kaban,raw,ABC,880,mask,ABC,21.74
trial_1gxuh0cu,Kaban,raw,ABC,880,mask,D,24
trial_1gxuh0cu,Kaban,raw,ABC,880,raw,ABC,21.74
trial_1gxuh0cu,Kaban,raw,ABC,880,raw,D,28
trial_1h7m3s87,Kaban,mask,ABCD,1000,embd,ABC,25.93
trial_1h7m3s87,Kaban,mask,ABCD,1000,embd,D,35
trial_1h7m3s87,Kaban,mask,ABCD,1000,mask,ABC,22.22
trial_1h7m3s87,Kaban,mask,ABCD,1000,mask,D,20
trial_1h7m3s87,Kaban,mask,ABCD,1000,raw,ABC,22.22
trial_1h7m3s87,Kaban,mask,ABCD,1000,raw,D,25
trial_1iww0blk,Kaban,mask,ABCD,880,embd,ABC,35
trial_1iww0blk,Kaban,mask,ABCD,880,embd,D,33.33
trial_1iww0blk,Kaban,mask,ABCD,880,mask,ABC,20
trial_1iww0blk,Kaban,mask,ABCD,880,mask,D,25
trial_1iww0blk,Kaban,mask,ABCD,880,raw,ABC,20
trial_1iww0blk,Kaban,mask,ABCD,880,raw,D,25
trial_1j02et7l,Serval,raw,ABC,650,embd,ABC,32.26
trial_1j02et7l,Serval,raw,ABC,650,embd,D,40
trial_1j02et7l,Serval,raw,ABC,650,mask,ABC,19.35
trial_1j02et7l,Serval,raw,ABC,650,mask,D,30
trial_1j02et7l,Serval,raw,ABC,650,raw,ABC,22.58
trial_1j02et7l,Serval,raw,ABC,650,raw,D,30
trial_1lw6pm4x,Kaban,raw,ABC,880,embd,ABC,35
trial_1lw6pm4x,Kaban,raw,ABC,880,embd,D,38.1
trial_1lw6pm4x,Kaban,raw,ABC,880,mask,ABC,20
trial_1lw6pm4x,Kaban,raw,ABC,880,mask,D,23.81
trial_1lw6pm4x,Kaban,raw,ABC,880,raw,ABC,15
trial_1lw6pm4x,Kaban,raw,ABC,880,raw,D,19.05
trial_1mqxxv6d,Serval,raw,ABC,1000,embd,ABC,14.81
